transaction_id,transaction_date_standardized,merchant_name,merchant_id,merchant_category,account_manager, raw_amount ,currency,usd_rate, amount_usd ,status,risk_score,gateway_region,payment_method,user_id,high_value_flag,high_risk_flag
T001,01-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"4,20,000",INR,0.0119,"4,998",CAPTURED,62,APAC,UPI,U001,0,0
T002,01-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"2,10,000",INR,0.0119,"2,499",CAPTURED,55,APAC,Card,U002,0,0
T003,01-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"5,10,000",INR,0.0119,"6,069",CAPTURED,71,APAC,NetBanking,U003,1,1
T004,02-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"1,60,000",INR,0.012,"1,920",FAILED,68,APAC,Card,U004,0,0
T005,02-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"3,90,000",INR,0.012,"4,680",CAPTURED,58,APAC,UPI,U001,0,0
T006,02-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"2,75,000",INR,0.012,"3,300",CAPTURED,64,APAC,Wallet,U005,0,0
T007,02-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"4,50,000",INR,0.012,"5,400",CHARGEBACK,83,APAC,Card,U006,1,1
T008,03-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"3,40,000",INR,0.0121,"4,114",CAPTURED,59,APAC,UPI,U007,0,0
T009,03-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"1,25,000",INR,0.0121,"1,513",CAPTURED,46,APAC,Wallet,U002,0,0
T010,03-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"6,10,000",INR,0.0121,"7,381",CAPTURED,77,APAC,Card,U003,1,1
T011,03-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"1,95,000",INR,0.0121,"2,360",FAILED,,APAC,UPI,U008,0,0
T012,04-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"2,50,000",INR,0.012,"3,000",CAPTURED,61,APAC,Card,U009,0,0
T013,04-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"3,10,000",INR,0.012,"3,720",CAPTURED,54,APAC,UPI,U010,0,0
T014,04-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"4,70,000",INR,0.012,"5,640",CAPTURED,73,APAC,NetBanking,U001,1,1
T015,04-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"1,30,000",INR,0.012,"1,560",CAPTURED,52,APAC,Card,U002,0,0
T016,05-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"2,20,000",INR,0.0118,"2,596",FAILED,69,APAC,Card,U008,0,0
T017,05-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"1,80,000",INR,0.0118,"2,124",FAILED,72,APAC,Card,U008,0,1
T018,05-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"1,45,000",INR,0.0118,"1,711",CHARGEBACK,86,APAC,UPI,U008,0,1
T019,05-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"2,60,000",INR,0.0118,"3,068",FAILED,67,APAC,Wallet,U008,0,0
T020,05-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"5,20,000",INR,0.0118,"6,136",CAPTURED,75,APAC,UPI,U005,1,1
T021,06-03-2026,Beta Stores,M002,Electronics,Rohan Mehta,"3,30,000",INR,0.0119,"3,927",CAPTURED,63,APAC,Card,U006,0,0
T022,06-03-2026,Alpha Mart,M001,Grocery,Aisha Khan,"4,10,000",INR,0.0119,"4,879",CAPTURED,60,APAC,UPI,U007,0,0
T023,01-03-2026,City Pharma,M003,Healthcare,Elena Rossi,"5,200",EUR,1.08,"5,616",CAPTURED,42,EU,Card,U003,0,0
T024,02-03-2026,Eco Home,M005,Home,Nina Weber,"6,100",EUR,1.09,"6,649",CHARGEBACK,65,EU,Card,U004,1,1
T025,03-03-2026,City Pharma,M003,Healthcare,Elena Rossi,"2,800",EUR,1.08,"3,024",CAPTURED,38,EU,Wallet,U005,0,0
T026,05-03-2026,Eco Home,M005,Home,Nina Weber,"3,300",EUR,1.09,"3,597",FAILED,44,EU,NetBanking,U006,0,0
T027,01-03-2026,Delta Travels,M004,Travel,Marcus Lee,"7,200",USD,1,"7,200",CAPTURED,49,US,Card,U007,1,0
T028,02-03-2026,Delta Travels,M004,Travel,Marcus Lee,"3,100",USD,1,"3,100",CAPTURED,41,US,Card,U008,0,0
T029,04-03-2026,Delta Travels,M004,Travel,Marcus Lee,"2,500",USD,1,"2,500",CHARGEBACK,58,US,Wallet,U009,0,1
T030,06-03-2026,Delta Travels,M004,Travel,Marcus Lee,"1,800",USD,1,"1,800",FAILED,47,US,UPI,U010,0,0
